Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
[127]    0.0    0.00    0.00     974         olib::openpluginlib::property_typename::property_typename(wchar_t const*) [127]
-----------------------------------------------
                0.00    0.00       1/36          Jahshaka::sendsetProgressValue(int) [251]
                0.00    0.00       1/36          Jahshaka::sendchangeModeText(QString const&) [249]
                0.00    0.00      34/36          Jahshaka::qt_invoke(int, QUObject*) [6354]
[128]    0.0    0.00    0.00      36         Jahshaka::staticMetaObject() [128]
-----------------------------------------------
                0.00    0.00       1/27          JahControl::addProgressSteps(int) [204]
                0.00    0.00      13/27          JahControl::updateProgress() [133]
                0.00    0.00      13/27          JahControl::creatingModule(QString const&) [132]
[129]    0.0    0.00    0.00      27         JahControl::staticMetaObject() [129]
-----------------------------------------------
                0.00    0.00      20/20          olib::openpluginlib::detail::registry::insert(std::string const&) [4111]
[130]    0.0    0.00    0.00      20         boost::detail::sp_counted_base::destroy() [130]
-----------------------------------------------
                0.00    0.00      19/19          Jahshaka::qt_invoke(int, QUObject*) [6354]
[131]    0.0    0.00    0.00      19         Jahshaka::JahsetProgressValue() [131]
-----------------------------------------------
                0.00    0.00      13/13          JahControl::JahControl(QGLWidget*, QWidget*, JahHeader*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QWidget*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*) [233]
[132]    0.0    0.00    0.00      13         JahControl::creatingModule(QString const&) [132]
                0.00    0.00      13/27          JahControl::staticMetaObject() [129]
-----------------------------------------------
                0.00    0.00      13/13          JahControl::JahControl(QGLWidget*, QWidget*, JahHeader*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QWidget*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*, QFrame*) [233]
[133]    0.0    0.00    0.00      13         JahControl::updateProgress() [133]
                0.00    0.00      13/27          JahControl::staticMetaObject() [129]
-----------------------------------------------
                0.00    0.00      13/13          Jahshaka::qt_invoke(int, QUObject*) [6354]
[134]    0.0    0.00    0.00      13         Jahshaka::JahchangeModeText(QString const&) [134]
-----------------------------------------------
                0.00    0.00       1/12          JahControl::CreateEncodingModule(QFrame*) [223]
                0.00    0.00       1/12          JahControl::CreatePlayerModule(QFrame*) [211]
                0.00    0.00       1/12          JahControl::CreateDesktopModule(QHBox*, QHBox*) [216]
                0.00    0.00       1/12          JahControl::CreateKeyerModule() [207]
                0.00    0.00       1/12          JahControl::CreateTrackerModule() [220]
                0.00    0.00       1/12          JahControl::CreateEffectsModule() [218]
                0.00    0.00       1/12          JahControl::CreateColorModule() [206]
                0.00    0.00       1/12          JahControl::CreateTextModule() [203]
                0.00    0.00       1/12          JahControl::CreateEditingModule() [217]
                0.00    0.00       1/12          JahControl::CreateAnimationModule() [225]
                0.00    0.00       1/12          JahControl::CreateLibraryModule(QFrame*) [219]
                0.00    0.00       1/12          JahControl::CreatePaintModule() [208]
[135]    0.0    0.00    0.00      12         JahControl::CreateModule(bool) [135]
-----------------------------------------------
